id,type,bot_id,max_safety_orders,deal_has_error,from_currency_id,to_currency_id,account_id,active_safety_orders_count,created_at,updated_at,closed_at,finished?,current_active_safety_orders_count,current_active_safety_orders,completed_safety_orders_count,completed_manual_safety_orders_count,cancellable?,panic_sellable?,trailing_enabled,tsl_enabled,stop_loss_timeout_enabled,stop_loss_timeout_in_seconds,active_manual_safety_orders,pair,status,take_profit,base_order_volume,safety_order_volume,safety_order_step_percentage,bought_amount,bought_volume,bought_average_price,sold_amount,sold_volume,sold_average_price,take_profit_type,final_profit,martingale_coefficient,martingale_volume_coefficient,martingale_step_coefficient,stop_loss_percentage,error_message,profit_currency,stop_loss_type,safety_order_volume_type,base_order_volume_type,from_currency,to_currency,current_price,take_profit_price,stop_loss_price,final_profit_percentage,actual_profit_percentage,bot_name,account_name,usd_final_profit,actual_profit,actual_usd_profit,failed_message,reserved_base_coin,reserved_second_coin,trailing_deviation,trailing_max_price,tsl_max_price,strategy
118667650,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T23:22:37.613Z,2020-05-16T23:23:49.394Z,2020-05-16T23:23:49.394Z,True,0,0,1,0,False,False,False,False,False,0,0,BTC_DUSK,completed,1.32,0.005,0.0025,0.48,3281.0,0.00750814689,0.000002288371499542822310271,3281.0,0.0076389964525,0.0000023282525,total,0.00013085,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,DUSK,0.0,0,,1.71,0,"Berlin (BTC, 1.32%, 25x)",,1.28,0.0001308495625,1.275750521984375,,-0.0001308495625,0.0,0.2,,,long
118647887,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T21:14:41.052Z,2020-05-16T23:27:19.841Z,2020-05-16T23:27:19.840Z,True,0,0,1,0,False,False,False,False,False,0,0,BTC_REN,completed,1.32,0.005,0.0025,0.48,879.0,0.00751811436,0.000008553031126279863481229,879.0,0.00762399771,0.00000867349,total,0.00010588,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,REN,0.0,0,,1.39,0,"Berlin (BTC, 1.32%, 25x)",,1.03,0.00010588335,1.0323361916625,,-0.00010588335,0.0,0.2,,,long
118646966,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T21:09:11.878Z,2020-05-17T12:30:24.858Z,,False,0,0,3,0,True,True,False,False,False,0,0,BTC_ALGO,bought,1.32,0.005,0.0025,0.48,1806.0,0.03758068439,0.000020808795343300110741971,0.0,0.0,0,total,-0.00045037,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,ALGO,2.056e-05,0.00002111,,0,-1.2,"Berlin (BTC, 1.32%, 25x)",,-4.39,-0.00048645575,-4.7428219485625,,0.03758068439,1806.0,0.2,,,long
118644833,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T20:57:33.180Z,2020-05-17T01:01:52.704Z,,False,0,0,3,0,True,True,False,False,False,0,0,BTC_AION,bought,1.32,0.005,0.0025,0.48,4179.0,0.037538632875,0.000008982683147882268485284,0.0,0.0,0,total,-0.00025748,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,AION,8.68e-06,0.00000912,,0,-3.37,"Berlin (BTC, 1.32%, 25x)",,-2.51,-0.001301186595,-12.68624400460125,,0.037538632875,4179.0,0.2,,,long
118644273,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T20:54:08.041Z,2020-05-16T22:59:54.306Z,2020-05-16T22:59:54.306Z,True,0,0,1,0,False,False,False,False,False,0,0,BTC_CHR,completed,1.32,0.005,0.0025,0.48,3757.0,0.0075070560725,0.000001998151736092627096087,3757.0,0.0076209899675,0.0000020284775,total,0.00011393,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,CHR,0.0,0,,1.49,0,"Berlin (BTC, 1.32%, 25x)",,1.11,0.000113933895,1.11082699277625,,-0.000113933895,0.0,0.2,,,long
118627672,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T19:14:40.995Z,2020-05-16T21:08:22.740Z,2020-05-16T21:08:22.739Z,True,0,0,1,0,False,False,False,False,False,0,0,BTC_GO,completed,1.32,0.001,0.0005,0.48,1908.0,0.001502025675,0.000000787225196540880503145,1908.0,0.0015252552,0.0000007994,total,0.00002323,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,GO,0.0,0,,1.52,0,"Berlin (BTC, 1.32%, 25x)",,0.23,0.000023229525,0.22648206136875,,-0.000023229525,0.0,0.2,,,long
118614755,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T18:00:11.917Z,2020-05-17T12:33:47.698Z,,False,0,0,3,0,True,True,False,False,False,0,0,BTC_EVX,bought,1.32,0.001,0.0005,0.48,439.0,0.0075350170275,0.000017164047898633257403189,0.0,0.0,0,total,-0.00011018,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,EVX,1.703e-05,0.00001741,,0,-0.78,"Berlin (BTC, 1.32%, 25x)",,-1.07,-0.0000663231975,-0.646634594825625,,0.0075350170275,439.0,0.2,,,long
118607624,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T17:22:43.666Z,2020-05-16T19:27:36.431Z,2020-05-16T19:27:36.430Z,True,0,0,2,0,False,False,False,False,False,0,0,BTC_POLY,completed,1.32,0.001,0.0005,0.48,1139.0,0.003005272265,0.000002638518230904302019315,1139.0,0.00305023061,0.00000267799,total,0.00004496,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,POLY,0.0,0,,1.47,0,"Berlin (BTC, 1.32%, 25x)",,0.44,0.000044958345,0.43833262416375,,-0.000044958345,0.0,0.2,,,long
118600729,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T16:45:22.836Z,2020-05-16T17:09:48.968Z,2020-05-16T17:09:48.968Z,True,0,0,1,0,False,False,False,False,False,0,0,BTC_WABI,completed,1.32,0.001,0.0005,0.48,168.0,0.00151089232,0.000008993406666666666666667,168.0,0.00153268962,0.0000091231525,total,0.0000218,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,WABI,0.0,0,,1.42,0,"Berlin (BTC, 1.32%, 25x)",,0.21,0.0000217973,0.212518225675,,-0.0000217973,0.0,0.2,,,long
118598312,Deal,1035623,3,False,0,0,29001794,1,2020-05-16T16:33:09.658Z,2020-05-16T17:22:38.535Z,2020-05-16T17:22:38.534Z,True,0,0,2,0,False,False,False,False,False,0,0,BTC_CHZ,completed,1.32,0.001,0.0005,0.48,2919.0,0.00300373111,0.000001029027444330250085646,2919.0,0.0030626512875,0.0000010492125,total,0.00005892,1.0,3.0,1.9,0.0,,quote_currency,stop_loss,quote_currency,quote_currency,BTC,CHZ,0.0,0,,1.92,0,"Berlin (BTC, 1.32%, 25x)",,0.57,0.0000589201775,0.574457000580625,,-0.0000589201775,0.0,0.2,,,long
